"Column Name","Label"
"S2403_C04_010M","Female!!Margin of Error!!Transportation and warehousing, and utilities!!Transportation and warehousing"
"S2403_C05_010E","Percent Female!!Estimate!!Transportation and warehousing, and utilities!!Transportation and warehousing"
"S2403_C05_010M","Percent Female!!Margin of Error!!Transportation and warehousing, and utilities!!Transportation and warehousing"
"S2403_C01_011E","Total!!Estimate!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C01_011M","Total!!Margin of Error!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C02_011E","Male!!Estimate!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C02_011M","Male!!Margin of Error!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C03_011E","Percent Male!!Estimate!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C03_011M","Percent Male!!Margin of Error!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C04_011E","Female!!Estimate!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C04_011M","Female!!Margin of Error!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C05_011E","Percent Female!!Estimate!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C05_011M","Percent Female!!Margin of Error!!Transportation and warehousing, and utilities!!Utilities"
"S2403_C01_012E","Total!!Estimate!!Information"
"S2403_C01_012M","Total!!Margin of Error!!Information"
"S2403_C02_012E","Male!!Estimate!!Information"
"S2403_C02_012M","Male!!Margin of Error!!Information"
"S2403_C03_012E","Percent Male!!Estimate!!Information"
"S2403_C03_012M","Percent Male!!Margin of Error!!Information"
"S2403_C04_012E","Female!!Estimate!!Information"
"S2403_C04_012M","Female!!Margin of Error!!Information"
"S2403_C05_012E","Percent Female!!Estimate!!Information"
"S2403_C05_012M","Percent Female!!Margin of Error!!Information"
"S2403_C01_013E","Total!!Estimate!!Finance and insurance, and real estate and rental and leasing"
"S2403_C01_013M","Total!!Margin of Error!!Finance and insurance, and real estate and rental and leasing"
"S2403_C02_013E","Male!!Estimate!!Finance and insurance, and real estate and rental and leasing"
"S2403_C02_013M","Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing"
"S2403_C03_013E","Percent Male!!Estimate!!Finance and insurance, and real estate and rental and leasing"
"S2403_C03_013M","Percent Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing"
"S2403_C04_013E","Female!!Estimate!!Finance and insurance, and real estate and rental and leasing"
"S2403_C04_013M","Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing"
"S2403_C05_013E","Percent Female!!Estimate!!Finance and insurance, and real estate and rental and leasing"
"S2403_C05_013M","Percent Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing"
"S2403_C01_014E","Total!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C01_014M","Total!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C02_014E","Male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C02_014M","Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C03_014E","Percent Male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C03_014M","Percent Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C04_014E","Female!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C04_014M","Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C05_014E","Percent Female!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C05_014M","Percent Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance"
"S2403_C01_015E","Total!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C01_015M","Total!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C02_015E","Male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C02_015M","Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C03_015E","Percent Male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C03_015M","Percent Male!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C04_015E","Female!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C04_015M","Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C05_015E","Percent Female!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C05_015M","Percent Female!!Margin of Error!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing"
"S2403_C01_016E","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C01_016M","Total!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C02_016E","Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C02_016M","Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C03_016E","Percent Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C03_016M","Percent Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C04_016E","Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C04_016M","Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C05_016E","Percent Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C05_016M","Percent Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services"
"S2403_C01_017E","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C01_017M","Total!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C02_017E","Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C02_017M","Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C03_017E","Percent Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C03_017M","Percent Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C04_017E","Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C04_017M","Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C05_017E","Percent Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C05_017M","Percent Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services"
"S2403_C01_018E","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C01_018M","Total!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C02_018E","Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C02_018M","Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C03_018E","Percent Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C03_018M","Percent Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C04_018E","Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C04_018M","Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C05_018E","Percent Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C05_018M","Percent Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Management of companies and enterprises"
"S2403_C01_019E","Total!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C01_019M","Total!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C02_019E","Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C02_019M","Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C03_019E","Percent Male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C03_019M","Percent Male!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C04_019E","Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C04_019M","Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C05_019E","Percent Female!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C05_019M","Percent Female!!Margin of Error!!Professional, scientific, and management, and administrative and waste management services!!Administrative and support and waste management services"
"S2403_C01_020E","Total!!Estimate!!Educational services, and health care and social assistance"
"S2403_C01_020M","Total!!Margin of Error!!Educational services, and health care and social assistance"
"S2403_C02_020E","Male!!Estimate!!Educational services, and health care and social assistance"
"S2403_C02_020M","Male!!Margin of Error!!Educational services, and health care and social assistance"
"S2403_C03_020E","Percent Male!!Estimate!!Educational services, and health care and social assistance"
"S2403_C03_020M","Percent Male!!Margin of Error!!Educational services, and health care and social assistance"
"S2403_C04_020E","Female!!Estimate!!Educational services, and health care and social assistance"
